,Learner's transcript,Questions
704,"Ryan thanks for sharing and I can really appreciate how difficult it is during these challenging times and I you know, I like to do what I can to help you walk. You know, there's a lot of resources here at ey. Do you have any ideas what might work for you?",['do you have any ideas what might work for you?']
705,"Ryan thanks for sharing. I really appreciate that and I can totally understand how difficult it might be to have kids at home trying to juggle work. I can really empathize with a fact that you know, that can be a real Challenge and this is new for us. So I'd like to recognize that and then also acknowledge that you know, there are lots of resources here at ey and how can we help you? You know, how can we help you figure out how to make it easier for you at home? Cuz I know it can be very difficult in this new work work from home type atmosphere. That's new for all of us.","[""so i'd like to recognize that and then also acknowledge that you know, there are lots of resources here at ey and how can we help you?"", 'you know, how can we help you figure out how to make it easier for you at home?']"
706,Thank you for being vulnerable and sharing how you're feeling. I completely understand. I think it's very difficult for yourself and for all of us with the changing situation wage. What have you done to try to adapt or what? Have you found that's been successful for you?,['what have you done to try to adapt or what?']
707,I understand how difficult that P could be. I have a child at home myself. Have you talked to your team about this concerning?,['have you talked to your team about this concerning?']
708,"I fully understand Ryan. I think everyone is going through the same situation if it's not similar challenges, it's something different. How can I help?",['how can i help?']
709,Appreciate you writing for being transparent on what's going on with you and how that affects your performance at work. I've seen a lot of people going through that situation too as well. But how can I help you in in dealing with this type of situation and have you thought through it? What are some things that you could do to to balance the work in the the commitment you get home?,"['but how can i help you in in dealing with this type of situation and have you thought through it?', 'what are some things that you could do to to balance the work in the the commitment you get home?']"
710,"I completely understand Ryan. It's very challenging right now in this environment to find the time, but do you think we could do better? How can I best support you you why has a number of different options for flexibility that I would love to talk to you more about","[""it's very challenging right now in this environment to find the time, but do you think we could do better?""]"
711,"I completely understand that definitely sounds like something that would be challenging in this in this ever-changing world, but I'd love to understand how we can best help you. Do you have any ideas for how to manage your time better?",['do you have any ideas for how to manage your time better?']
712,"Thank you for sharing this with me. I understand how you're feeling. This is something a lot of us are going through right now. I am I know that the firm has a lot of resources that can help but I'd like to hear from you. What do you think is the support that you need? What can I do to help you walk? Maybe there are ways that we can look at the firm's flexible work Arrangements, but you tell me what do you think would be best and let's see if we can make that happen together.","['what do you think is the support that you need?', 'what can i do to help you walk?']"
713,Thanks for sharing this with me. I totally understand. I'm in your situation to with kids at home. I know that we can get through this together. Why don't you tell me a little bit more about what you think might be most helpful. How can I help you?,['how can i help you?']
714,Thanks for telling me about this and being open and honest about your situation. Like this is a difficult time for everybody and it's something we're all struggling to get used to. I know that the firm offers a lot of different support and options for working flexibly and giving support to people who need it. Have you thought about how the firm can help you? Would you like to look into any of those ideas? What do you think might work best for you?,"['have you thought about how the firm can help you?', 'what do you think might work best for you?']"
715,"Yeah, I totally get what you're saying. I mean I'm a working parent too. So I have kids at home myself and it is a struggle I think would be the best way that I could help you or find you the support that you need?",['so i have kids at home myself and it is a struggle i think would be the best way that i could help you or find you the support that you need?']
716,"Hi Ryan, I appreciate your sharing your thoughts and frustrations. I hear you. I understand it is hard to take care of family and work at the same time during this transition. Having more flexibility at work would probably help you. What do you think? Do you have any ideas on what could help you and I'm happy to support you along the way.",['what do you think?']
717,"Here I am. Yes. I can absolutely understand how difficult it will be to manage your time in the Panthers Dynamics given, you know, you need to take care of a toddler and as well as complete the deadlines. I am here to help you out. How do how would you want me to help you?",['how do how would you want me to help you?']
718,Thanks very much for sharing your situation with me Ryan this and and I'm sure you recognize that you're not unique in this a lot of people going through the same thing that you're going through so long. Why don't we see if we can come up with some ways that we can help address this and do you have any ideas to start?,"[""why don't we see if we can come up with some ways that we can help address this and do you have any ideas to start?""]"
719,"I understand what you're going through Ryan and I have a lot of empathy for how difficult it must be to take care of your toddler while also working from home, especially in daycare closed. We're really committed to having finding a solution to help you work successfully from home and take care of your family would like to find out how we can be a more support to you. Do you have any ideas about what we could do?",['do you have any ideas about what we could do?']
720,"Thanks for letting me know what's going on Ryan. I understand that daycare is closed and that it's hard to operate the same way in the new environment, especially with a toddler at home. I'm curious to know what ideas you have for how we might be able to support you you I is really committed to to giving you the support you need so that you can take care of your family and accomplish your job. How can we be of support to you?",['how can we be of support to you?']
721,"Thanks for letting me know what's going on Ryan. We really work hard to make sure that we are employees have the ability to flex their personal lives and their work life. And I understand that it's been really difficult for you right now, especially with a toddler at home. What ideas do you have and how can I support you?",['what ideas do you have and how can i support you?']
722,Thanks for letting me know what's going on Ryan. I'd really like to find a way to help you figure out how you can take care of your family and also take care of your responsibilities at work. I'm curious to know what can I do to spew support to you?,"[""i'm curious to know what can i do to spew support to you?""]"
723,Thanks for sharing that with me Ryan. It's also to understand your situation and I understand we need to help everyone adapt to the situation during this difficult times. How long have you thought about any ideas? It's here and see how we can help you.,['how long have you thought about any ideas?']
724,Thanks for sharing that with me Ryan. It's helpful to understand what you're going through and it is indeed difficult times. But it is helpful to understand what you're going through. So that we can find some solutions firm is actually doing several things to help alleviate the challenges. So have you thought about any of those? What did you share them with me and see how we can help you?,['what did you share them with me and see how we can help you?']
725,Thanks for sharing Ryan. I'd like to be able to help and we can provide as much support as you need. Tell me. What do you think we should do?,['what do you think we should do?']
726,"Showing that with me Ryan, I know it's difficult at the moment. What do you think we should do?",['what do you think we should do?']
727,"Thanks for sharing with me. I know it's been a really challenging time and I appreciate hearing a little bit more perspective and context of what's what's going on. I want to assure you that want to work together to find something that is more manageable e y has a lot of resources and would love to explore those with you. But first, what ideas do you have that my work and better balancing your work and family commitments?","['but first, what ideas do you have that my work and better balancing your work and family commitments?']"
728,"Thanks for sharing that with me Ryan. I completely understand where you're coming from. I'm a working parent too, and it's really hard to juggle the kids and work home. I really want to support you in this effort and want you to know that I understand your situation. You know what e y we try to be as flexible as possible, especially during these challenging times. So have you thought about how you can flex your schedule and flex your time or even if you think a flexible work Arrangement might be possible. Let's think through some solutions that would work for you. What ideas do you have to help your situation?",['what ideas do you have to help your situation?']
729,Thanks for sharing with me Ryan. We need to find ways to support you during this and I am empathetic tell me what do you think we should do?,['we need to find ways to support you during this and i am empathetic tell me what do you think we should do?']
730,"Hi Brian, I'm really sorry to hear that. I'm sure it must be extremely difficult to make sure the things at home, especially with the toddler are taken care of and then and then finding time for work. I can see where that's a that's a real struggle. I just want you to know that I'm here to support you through this. Is there any thing that I can do or do you have any ideas on maybe how to start doing things a little bit differently?",['is there any thing that i can do or do you have any ideas on maybe how to start doing things a little bit differently?']
731,"Well Brian, I I'm sorry to hear that and I certainly understand the situation. I think there are many of us who find herself in a similar spot. Is there anything I can do to help you as you try to balance, you know things at home verse with things that work?","['is there anything i can do to help you as you try to balance, you know things at home verse with things that work?']"
732,"Hey Brian, I totally understand where all really struggling and grappling with this new situation that we're faced with. Is there anything that I can do to help you as you try to sort out how to balance the situation?",['is there anything that i can do to help you as you try to sort out how to balance the situation?']
733,"Hey Ryan. Yeah, I completely understand the struggles here. I'm faced with a lot of them myself. However, we still have our responsibilities to the client that we need to fulfill are there any folks that you think we could include You know as you're feeling like maybe you need some help are there different ways or different people that we might be able to reach out to to help resolve the issues that you're facing?","[""however, we still have our responsibilities to the client that we need to fulfill are there any folks that you think we could include you know as you're feeling like maybe you need some help are there different ways or different people that we might be able to reach out to to help resolve the issues that you're facing?""]"
734,"Thanks, Ryan. I do understand and I'd like to be able to help tell me do you have any ideas about how we can solve this?","[""i do understand and i'd like to be able to help tell me do you have any ideas about how we can solve this?""]"
735,"Well, I understand what you're dealing with. These are really difficult times. Is there any way that we can help you? Do you have any ideas?","['is there any way that we can help you?', 'do you have any ideas?']"
736,Thanks for sharing this with me Ryan. It's helpful to hear what you're dealing with. This is a difficult time and understand we need to help everyone adapt to the situation. Let's talk about how we can help you. Do you have any ideas?,['do you have any ideas?']
737,Thanks for sharing this with me Ryan. It's helpful to hear what you're dealing with. This is a difficult time and I understand we need to help everyone adapt to the situation. Let's talk about how we can help you. Do you have any ideas?,['do you have any ideas?']
738,Thanks for sharing this with me Ryan. It's helpful to hear what you're dealing with. This is a difficult time and I understand we need to help everyone adapt to the situation. Let's talk about how we can help you. Do you have any ideas?,['do you have any ideas?']
739,I'm sorry to hear that Brian. I'd like to be able to help. What do you think we should do about this?,['what do you think we should do about this?']
740,Hear that Ryan. I'd like to be able to help. What do you think we should do about this?,['what do you think we should do about this?']
741,Sharing with me Ryan. This is helpful to hear what you're dealing with. This is a difficult time and I understand we need to help everyone adapt to the situation. Let's talk about different ways. We can help you out. Do you have any ideas?,['do you have any ideas?']
742,I'm sorry to hear that Ryan. I'd like to be able to help. What do you think we should do about this?,['what do you think we should do about this?']
743,Sorry to hear that Ryan. I'd like to be able to help. What do you think we should do about this?,['what do you think we should do about this?']
744,This is a very specific situation. We had to provide support. Is there any way I can help with and do you have any ideas?,['is there any way i can help with and do you have any ideas?']
745,I'm sorry to hear this. How can we help? I wonder if there are ways that we can find to help you move this forward.,['how can we help?']
746,I'm sorry to hear what's going on. How can we help? What can I do to help move this forward?,"['how can we help?', 'what can i do to help move this forward?']"
747,I'm sorry to hear what's going on. Can you tell me how you think we should resolve this?,['can you tell me how you think we should resolve this?']
748,"I am sad to hear that. I understand what you're dealing with, how can I support?","[""i understand what you're dealing with, how can i support?""]"
749,"So I think that's a great idea to adapt the work schedule but I think in order to do that and make sure that all needs are met on your personal life the work environment. You know, the engagement is real life understand. What does that schedule look like? Can we commit two times that you would be online and times do you need to be offline and then look at the work load and make sure that the client needs are going to be covered within that time frame that you'll be off and see if we have additional coverage. So starting on your side. What do you think would be a good schedule for your side and then let's work with our teammates to fine coverage for the times. You'll be offline.",['what does that schedule look like?']
750,Absolutely. I'm glad to see that you understand that there's still a business priority to meet our deadlines and meet the deliverable store clients. So have you considered a flexible flexible work Arrangement where perhaps you can shift your hours to start working towards the end of the day off or maybe work a few days during the week and still meet your deadlines. Would that be something that will help you meet your thoughts deliverables?,['would that be something that will help you meet your thoughts deliverables?']
751,"Hey Ryan, thanks for trusting me in the share about your thoughts. It's important to understand how we can accomplish the client's needs right? I thought would be helpful. As you know, also, share the insights of your schedule plan. And therefore we can schedule ton and to look together. What would be the expectation and how to make both your schedule successful and Appliance need successful?","[""it's important to understand how we can accomplish the client's needs right?"", 'what would be the expectation and how to make both your schedule successful and appliance need successful?']"
752,"And in previous seen Ryan shared his struggle to balance work and childhood while working remotely he's about to ask for your help. This scene is about setting expectations through influencing guys your team member toward the adoption of a specific behavior. No, thanks. That's helpful. I am wondering what to do about it, you know and how I can keep up with the deadlines of this engagement. So could we do something maybe adapting the work schedule?",['so could we do something maybe adapting the work schedule?']
753,I think that's actually a real reason a reasonable request. How about we set up a project tracker and teams and we can create a task list that'll help. Both of us stay connected and then I can help page where I see you may have some type of prioritizing problems. Is that going to be helpful for you?,['is that going to be helpful for you?']
754,Brian I think it's great that you're thinking through creative ways to solve the situation that you're in and I really appreciate your continued commitment to meeting the deadlines. Certainly am looking at flexing the work schedule is a great idea. Is it something that you have discussed with the engagement leader yet?,['is it something that you have discussed with the engagement leader yet?']
755,"Yep, I think that that is a fair proposal. Have you thought of other solutions that might help you things? I'm thinking are for instance not just being work schedule, but also maybe is it? Getting another team member on the team to help support you. or taking short-term leave. Have you explored any other options?","[""i'm thinking are for instance not just being work schedule, but also maybe is it?""]"
756,"Absolutely. Absolutely. What I would suggest is think of a scheduled work schedule that works best for you off. Maybe I'm going to if it helps like working late in the afternoon through whatever works for you maybe work on that schedule or maybe if you want to start early in the day and then ran a little earlier than afternoon. That should also work. I mean it's it's most important to make sure you set the right expectations with engagement team. So you have realistic deadlines. You have realistic milestones for each day or each week, right? And obviously we are all here to help you. I would strongly suggest that you were off with your team to come up with a flexible schedule like a doll. I mean early in the day or late in the day like whatever works for you.","['you have realistic milestones for each day or each week, right?']"
757,"Yeah, I'm happy to think through some different ideas and solutions. Can you tell me exactly what what do you think would be helpful for you? So what ideas do you have for us to think about flexibility when it comes to making sure that you can continue with the the requirements for the this particular role just just so we can start brainstorm some things.",['can you tell me exactly what what do you think would be helpful for you?']
758,"Oh glad if I'm hearing correctly adapting the work schedule. Yeah, that can be definitely one of the options that are available but this is something which I need to run it by the team understand what hours the other team members are working on and if it is going to impact anyone else in the team based on that maybe we can we can come up with a timetable Ryan and see if that will be helpful for you to but better perform. What do you say?",['what do you say?']
759,I think that that that's very achievable of a goal to to set out there for the adapting the work schedule to what works better for you and your own unique life challenges that you're experiencing right now. Have you discussed this with your current engagement team?,['have you discussed this with your current engagement team?']
760,"Absolutely, we can definitely adopt the work schedule. The key things right now are for your manager to have a clear understanding of what is doable for you. And what is it? So it'll be all about your communication with the person and making sure that they understand your schedule. You understand. There's you understand deadlines and that you are completing your work in and the time promised and given you're flexible work schedule.",['and what is it?']
761,"I'm absolutely willing to explore a flexible schedule in order to support your work responsibilities as well as your home responsibilities with that said I think that it's important that we establish some ground rules in order to determine if the solution is in fact, achieving its intended objective. So with that what do you think would be a good idea for how do you think that we can make sure that the solution is the best fit for the situation for both supporting you and your home life as well as to this engagement?",['so with that what do you think would be a good idea for how do you think that we can make sure that the solution is the best fit for the situation for both supporting you and your home life as well as to this engagement?']
762,"Engagement to come up with a flexible work schedule that will help you take care of your family matters during the day and finish or deadlines accordingly, you know, maybe you can work earlier in the day off during the evening. What do you think is something that will work have you talked to your engagement to come up with some sort of a flexible work plan that can work for you in this situation?",['what do you think is something that will work have you talked to your engagement to come up with some sort of a flexible work plan that can work for you in this situation?']
763,"Yes, Ryan, we can definitely talk about flexing your schedule and tell me what do you think is possible for you and then we can discuss some guidelines home and we can set expectations and combine what is possible for you? And at the same time we can Fong expected timelines and decide on when we can deliver the work and make it work for you.","['yes, ryan, we can definitely talk about flexing your schedule and tell me what do you think is possible for you and then we can discuss some guidelines home and we can set expectations and combine what is possible for you?']"
764,I appreciate that. There's deadlines and we do need to make sure that we're meeting those deadlines. Do you have the ability to work a split shift or work later on in the evening? We can definitely work on flexibility as long as a greeting the client needs as well.,['do you have the ability to work a split shift or work later on in the evening?']
765,"Yes, Ryan, we can definitely think of the solution that can work for both you and your engagement team we can we can adjust your working schedule long. Have you thought about flexwork Arrangement? Maybe you'd like to decrease the hours. You're working that of course has it difficult. Is she maybe you can change your work hours and start earlier in the morning and then log off for part of the day to take care of your kid and then log back in to make up for the time. You were aware of like, do you have any thoughts what would work for you?","['you were aware of like, do you have any thoughts what would work for you?']"
766,That is no problem with adopting a new work schedule. So please share. What is the status of your work right now? And what work schedule you would like to change adapt for? Thank you.,"['what is the status of your work right now?', 'and what work schedule you would like to change adapt for?']"
767,"Thank you for sharing. This is a good idea about the work schedule and if you can give me more information about what is the status of your work. Which what are the deadlines you have? And what work schedule would you like to adapt for so we can definitely think through Thursday also discuss it with my supervisor and find out what exactly can be done. So, please let me know the specific work schedule which works for your success. Thank you.",['which what are the deadlines you have?']
768,"It's perfectly fine to adapt the work schedule for your needs. However, we have to set some ground rules and guidelines. Your success is important for the project and whatever we are doing should enable you to be successful. Is that a fair? Is it reasonable?","['is that a fair?', 'is it reasonable?']"
769,"Hearing a completely understand when you are talking about the work schedule and it is difficult to balance work and not taking care of children being remotely at home. I'm doing their work all all remotely from home. Yes, certainly. We can adjust the schedule for your needs. How about taking some? I was off every day. Adjusting the schedule may be starting early and then closing it early will that help complete the schedules which you have in hand off. Will it help reaching Milestones of the project? Let me know.","['how about taking some?', 'will it help reaching milestones of the project?']"
770,"Hey Ryan, thanks for getting to the Crux of the issue. Certainly. We can do a few things on that. Yeah, Flex schedule would be helpful to you considering you have the kids and you're busy with activities around them. Then you have yeah schedule what Milestones on the project to meet. Yeah, Flex schedule. Would it be helpful? I think with your performance in the previous Cycles. I see you are capable of completing these tasks, which you're familiar with them. What do you see?",['what do you see?']
771,"Well Ryan, I'm glad that you brought that up, you know, e&y promotes flexible work schedules during this remote working scenario so we can work out a plan where you know during certain times where you're needed heavily and you know, we could work out a flexible schedule during the week so that you can still meet your personal needs as well as your professional needs on these engagements that we're working together on.Does that work for you? How does that sound and let's let's work on next steps.",['does that work for you?']
772,"Absolutely, you know changing the work schedule to make it more flexible for what's going to work for you within your individual life right now a hundred percent. I think what we would need to do though is look at may have any priorities. Do you have any tasks that need to be completed by certain time frames that you know is going to have a larger impact if we don't meet those deadlines and Siege we have flexibility among the team to kind of Taken shift responsibilities, maybe work more as a group than individuals and see how can we tackle this assignment? How can we get it done in time? But on an individual from your end really helping us understand? What time frame do you have available? Where are the areas during the day that you are unavailable really clear transparency among the team on what our availability is and going from there.","[""do you have any tasks that need to be completed by certain time frames that you know is going to have a larger impact if we don't meet those deadlines and siege we have flexibility among the team to kind of taken shift responsibilities, maybe work more as a group than individuals and see how can we tackle this assignment?"", 'how can we get it done in time?', 'what time frame do you have available?']"
773,"Yes, I think the schedule can be adapted and we can work with that. But it's very important to make sure that you can see if you split your day. Make sure that your present home during our clients sessions and theme sessions and you know, you have the ability to postpone all your head down work in the evenings if that would work better for you. Is that a good approach?",['is that a good approach?']
774,We can absolutely adjust our time schedule to help you with this. Why don't you tell me what work schedule times would work for you? I'll match it up with what we have or liver for the client and we'll make sure that we come to an agreement on something that works for both of us.,"[""why don't you tell me what work schedule times would work for you?""]"
775,That's an interesting suggestion. I think we could make adjustments to the work schedule to help out. It is important that we do achieve our goals for our client though. So what are some of what what would you what schedule changes do you think would work for you?,['so what are some of what what would you what schedule changes do you think would work for you?']
776,It's a interesting suggestion. I really I think that might be something that we can do. What are some of your suggestions of how we could adjust it to help you?,['what are some of your suggestions of how we could adjust it to help you?']
777,"I think offering a flexible schedule might be an option for you. However, I need to know from you what the best schedule would be able to work with your balance at work and home responsibilities. So why don't you let me know what would work best for you?","[""so why don't you let me know what would work best for you?""]"
778,We can certainly understand your challenges. Can we adapt your schedule at all? We're help you in any way. We certainly will set some clear guidelines about how to still deliver to our customers. but he is adaptive as possible to your scheduling needs.,['can we adapt your schedule at all?']
779,We certainly understand your concerns. And want to help you any way we can can we adapt your schedule at all? To ensure that we still meet our commitments. We can set some clear guidelines to adapt to your schedule. And still deliver to our customers.,['and want to help you any way we can can we adapt your schedule at all?']
780,We certainly understand the challenge. Can your schedule be adapted at all to meet our commitments to our customers? We're certainly here to support you any way we can we're going to set some very clear guidelines to make sure that we support your schedule needs and also deliver to the customer.,['can your schedule be adapted at all to meet our commitments to our customers?']
781,We can certainly understand your position. Can your schedule be adapted at all to make sure we meet our internal commitments to our clients? We'd like to set some very clear guidelines to help you adapt a flexible work schedule that still allows us to deliver.,['can your schedule be adapted at all to make sure we meet our internal commitments to our clients?']
782,"We can definitely address your concern about flexibility e y has lots of options and I think we just need to get aligned on which option is the best for you. So if you can share with me what your availability is, when is the best time for you to work? I can draft up some thoughts so that we can work together and have clear expectations and guidelines of what time is best for you for e y and for our client","['so if you can share with me what your availability is, when is the best time for you to work?']"
783,"Yes, I definitely think we can we can adapt the work schedule and I think it will be important for you to set a goal for yourself to you know, when you're able to to to focus on work that that's that's what you should be able to work on and and you know, once once that defined period of time ends and you and you need to go, you know, take care of your family take care of your kids, you know, don't be online focus on them because you know, ultimately either they're they're the most important thing here, right? So, you know, let's let's just do our best to create that work-life balance there.","[""yes, i definitely think we can we can adapt the work schedule and i think it will be important for you to set a goal for yourself to you know, when you're able to to to focus on work that that's that's what you should be able to work on and and you know, once once that defined period of time ends and you and you need to go, you know, take care of your family take care of your kids, you know, don't be online focus on them because you know, ultimately either they're they're the most important thing here, right?""]"
784,He right. I think that's definitely something that could work. What do you think would be a productive schedule? I do think we have to set proper ground rules and expectations and communicate for this to work properly.,['what do you think would be a productive schedule?']
785,"Absolutely, Ryan adjusting your work schedule is probably going to put you on the road to success and keeping with the project deadlines. Let's talk about the timing is an early in the morning. Do you find you're going to have time or is it late in the afternoon? Let's work towards setting up a schedule that gets the required hours that you need off and certainly the time to be with your family. But let's start forget about the project and the client's expectations. So I'm here to help you and let's get started off changing some schedules.","[""do you find you're going to have time or is it late in the afternoon?""]"
786,"Yeah, I think as long as we reach the deadlines that we need to reach, you know, however, that works is totally fine. For example, if you have to take a break in the middle of the day to take care of something personal that's not an issue. You can make up those hours later at night. I think flexibility is really key here. So what do you think could work best for you?",['so what do you think could work best for you?']
787,Absolutely. So there is the option of flexible scheduling right? What I would suggest is you talk to HR about the options look at both try to understand how that would work for you.,['so there is the option of flexible scheduling right?']
788,"Yeah, I think we could definitely adapter schedule. Would you be looking at in terms of doing that though? Because I wouldn't want you to be sitting there thinking a while to 30% fwa agreement and then that would work with your team. So I need to find something that works for you and works here engagement teams.",['would you be looking at in terms of doing that though?']
789,"Sure, Ryan, I think we can work together to figure out a schedule that might work. Well so that you're successful and you can you deliver on your commitments at home and wage at work?","[""well so that you're successful and you can you deliver on your commitments at home and wage at work?""]"
790,"Certainly, I think we can work with you on adapting the work schedule. What would be a example of a work schedule that might work well for you?",['what would be a example of a work schedule that might work well for you?']
791,We can certainly work out some ways to change your work schedule and allow you to be more flexible. But to be completely transparent with you. There are certain age where the client Dynamics just take precedence over us. So what are you what are your thoughts? Like? What are you thinking? We'll we'll be definitely want to help you wherever we can.,"['so what are you what are your thoughts?', 'what are you thinking?']"
792,"No problem, but first let's set some expectations and guidelines. Why don't you share with us? What is your schedule needs and we can lay off. What is the work schedule need from you and then we can work out a plan to cope both knees.","[""why don't you share with us?""]"
793,"Absolutely. I think it's a good idea to try to keep the work going. Well the same time also dealing with your family needs. I had to fly. I haven't tried to communicate with a team member and see if if I can work the time like if I can get it to work at I work done and different time compared to other team members, but also make sure my data verbal is on time. Why don't you start talking with your team managers and see what they are thinking about?","[""why don't you start talking with your team managers and see what they are thinking about?""]"
794,"Hi Ryan, that's definitely a good idea adapting work schedule. So it should give you the chance to align your personal balance your workload. So make sure you align with your team members you set up the expectations. So everyone can can know when to expect delivery from you as well. What is your availability? What are your commitments? So there is no Miss alignment in the end, right?","['what is your availability?', 'what are your commitments?', 'so there is no miss alignment in the end, right?']"
795,You mentioned that you have your toddler for part of the day. Do you know what hours you would typically be available to work? And if that's something that we could talk to the rest of the team about.,['do you know what hours you would typically be available to work?']
796,"Sure, and it's something we can certainly take a look at what type of schedule works best with you? I would encourage you to write down the times that you're going to be working and the times that you would like to change to have with your family and see if we can make that work for the team. If you get a clear we get a clear indication of how that goes. Maybe we can take a look at it.","[""sure, and it's something we can certainly take a look at what type of schedule works best with you?""]"
797,"Certainly, we can take a look at Ryan. I want to make sure that we have something that works for for you and for the team so that we can meet the client deadlines. Can you elaborate on what type of schedule work for you? And maybe we can see how that works for the team and our deliverables?","['can you elaborate on what type of schedule work for you?', 'and maybe we can see how that works for the team and our deliverables?']"
798,"You know we can certainly, you know, try to take a look at that man. What type of schedule do you think works best for you? You know want to make sure that we can find something that works for the team as well as you",['what type of schedule do you think works best for you?']
799,I think they can be possible. Can you have any ideas of how we may do that?,['can you have any ideas of how we may do that?']
800,Adopting a work schedule is a great idea. And I think we can absolutely work together to figure that out. What do you think? So on my side? I think it would make sense to cross communicate to me that the days and times that you plan to be working. And then maybe we can come up with an emergency plan as well. So what to do if let's say you're offline. I really really need you. What do you think about that solution?,"['what do you think?', 'what do you think about that solution?']"
801,"Absolutely. I definitely think that we can do something to help meet your objectives and your needs but we will need to set some ground rules. So while we can be definitely flexible on the work Arrangement if I do have immediate client needs or deadlines. I'm going to need you to you know, step up and step in but you know generally speaking we can talk about flexing your time. So let's talk about what might work for you. Can you give me some insight there?",['can you give me some insight there?']
802,Absolutely. I definitely think that we can work something out. We definitely want to be as flexible as we can to help. You meet your needs. It's a challenging time. It's a challenging environment and we certainly want to be understanding of that. So what can we do to help you meet your objectives and address your needs?,['so what can we do to help you meet your objectives and address your needs?']
803,Ryan we can definitely Flex the work schedule what I need to understand is what are some what are some baseline assumptions of how to do that? What what's the expectation in terms of hours that would let you be able to handle your situation at home and Thursday is give us enough time to build into the schedule so that the project itself is successful.,['ryan we can definitely flex the work schedule what i need to understand is what are some what are some baseline assumptions of how to do that?']
804,"Yes, right. I think that's something that we can certainly help you with. Maybe we need to sit down and figure out you know, what's the best schedule that works for you? I would suggest maybe you know setting you know, either later work hours or maybe starting your day a little bit earlier so that you can complete your work and you have the time to tend to suck your family and that should be should should allow you, you know to get everything you need to get done for from a work standpoint.","[""maybe we need to sit down and figure out you know, what's the best schedule that works for you?""]"
805,"I completely understand where you're coming from and I am here to help you. We have some great flexible work Arrangements you want as well as some day care assisted programs had reached out to ey assist to see if there are any things have available and then in regards to a flexible work Arrangement, what type of hours may work for you? Is there a schedule you have in my name?","['we have some great flexible work arrangements you want as well as some day care assisted programs had reached out to ey assist to see if there are any things have available and then in regards to a flexible work arrangement, what type of hours may work for you?', 'is there a schedule you have in my name?']"
806,"Things right? Well, you know we have to meet the deadline. So we have to figure out how we balance this work-life balance, you know, are there ways that you could maybe flex your schedule a little bit, you know around your kids schedule so that you know, you can still meet your deadlines but also, you know meet meet your family needs to be how would that work out for you?","['so we have to figure out how we balance this work-life balance, you know, are there ways that you could maybe flex your schedule a little bit, you know around your kids schedule so that you know, you can still meet your deadlines but also, you know meet meet your family needs to be how would that work out for you?']"
807,"Hi, Ron, I understand that you want to look at balancing the work schedule. I think it is important that we set the expectations up front in terms of is as long as possible. I think it's important for you to realize and understand. Is it even possible to begin with have you considered speaking to the engagement manager and see what happens if they say? No, what will you do then?","['is it even possible to begin with have you considered speaking to the engagement manager and see what happens if they say?', 'no, what will you do then?']"
808,Thank you for your suggestion. Can you help me understand your schedule? Maybe we can work something out to help you and also us on the team to help our client. I think we can find other ways as well to be flexible. Thank you.,['can you help me understand your schedule?']
809,"Yeah, Ryan u y offers a ton of different options when it comes to flexibility and we definitely want to support you. What are your ideas?",['what are your ideas?']
810,I think that's a great idea. We probably can't address the deadlines because those are set by the client but we definitely can try to adapt working schedule wage. Do you think that if you're able to get on earlier in the morning or log on later at night something like that? That would work. I think if we're able to establish some ground rules off and make sure that we stick to them then that would probably be the best course of action.,"[""do you think that if you're able to get on earlier in the morning or log on later at night something like that?""]"
811,We can absolutely look at adapting your work schedule. Why don't we do this? You let me know what will work for you. What what kind of schedule will give you enough effects ability to be able to balance both and then we will set some guidelines to make sure that we're meeting all the expectations in the times that you need to be meeting.,"[""why don't we do this?""]"
812,I think that's a great suggestion and I think that's something that we should explore further. What do you think would make the most sense in terms of your work schedule?,['what do you think would make the most sense in terms of your work schedule?']
813,"Faron sure, we totally can work on your schedule and flex as much as possible. Let's set get line here. I have them know what's your schedule and possibility and so I can outline what is possible to shift? And when in this way we can be that room that you perform well and you meet your goals and also we meet deadlines with your engagement.","[""i have them know what's your schedule and possibility and so i can outline what is possible to shift?""]"
