questionType,asin,answerTime,unixTime,question,answer,answerType
open-ended,B005IDQRTW,"Jan 26, 2014",1390723200.0,these are food grade i imagine for example safe for vanilla extract and stevia?,"They're glass, so yes, they're ""food grade"" although bottles aren't classified as ""food grade."" I always boil both the bottles and the droppers for a few minutes in water to sterilize them.",
open-ended,B005IDQRTW,"Jan 15, 2014",1389772800.0,"Why is their ""free shipping"" six bucks? That is not ""free"". Sounds like a scam.","If you are getting a shipping charge on a free shipping listing please contact us through the Amazon messenger, as this may be a bug in Amazon's listing software.",
yes/no,B005IDQRTW,"Jan 15, 2013",1358236800.0,"Am I reading this correctly, I'll be getting TWO 4oz amber glass bottles with glass droppers for $5.32?",yes,Y
yes/no,B005IQTSE0,"Oct 3, 2013",1380783600.0,"I'm new to Essential Oils, and some larger bottles do not have a dropper cap. Are you able to count drops with these pipettes? Thanks!","Hi JoAnn. Yes you can, and the drops are pretty consistent in size if you go slow. I just now filled one pipette to the 2ml mark (with water) and then counted the number of drops to reach the 1ml mark, getting 20 drops on each try.",Y
open-ended,B005IQTSE0,"Mar 6, 2014",1394092800.0,"I would like to use these to blend oils, such as argan, jojoba, castor, tamanu, grapeseed, and sea buckthorn. Some are thicker than others (Castor). Will they work okay with a thicker oil? And, how do you clean them? Should I even try? Oil is difficult...","i don't think these would be conducive to cleaning. the tip is of such a fine caliber that it would be difficult to adequately flush out and really clean. these would work more as a one-time-use pipette. if you are looking for a reusable option, then i would search for a medical or laboratory grade GLASS dropper with a removable head to allow for complete cleaning. hope that helps. :-)",
yes/no,B005IQTSE0,"Jan 12, 2014",1389513600.0,Would pure Acetone ( nail polish remover ) damage these?,"These are made of polyethylene, which has good resistance to acetone. They would work fine unless you are actually immersing them in acetone for extended periods.",?
open-ended,B005IQTSE0,"Aug 13, 2014",1407913200.0,"Are there graduations marked on the tubes? i.e., 1ml, 2ml 3ml??",Yep....0.5 1.0 1.5 2.0 2.5 3.0 ml,
yes/no,B005IQTSE0,"Jul 8, 2014",1404802800.0,Would these work for preschoolers to dot food coloring on coffee filters to watch the color spread?,Yes it would.,Y
yes/no,B005IQTSE0,"Jun 5, 2014",1401951600.0,Can these be used for liquid medicine to be transferred to feeding tube?,Yes I use them for transferring essential oils. I label a pipette for each oil and can use them again.,Y
open-ended,B005IQTSE0,"Dec 15, 2014",1418630400.0,what is the overall length of one dropper?,"A little over 6 1/4""",
open-ended,B005IQTSE0,"Sep 2, 2014",1409641200.0,"There are a lot of choices in pipettes, what is the best to use for both 5ml and 15 ml essential oil bottles. 3mm ,1mm.?","I'm not sure what you mean for ""best to use for..."" You use them to extract fluid (in my case, essential oils) to put into something else. They fit in both sizes oil bottles, if that is what you mean. I use them to make blends. There are indentations for measuring along the pipette that I find helpful. If you want to extract, say, 10 ml from a 15 ml bottle, these would not do the job well. Smaller amounts, yes.",
yes/no,B005IQTSE0,"Sep 22, 2014",1411369200.0,I want to use these to place 5 drops of olive oil in my ear. Is this the right size?,"These will work, however, they are a little long for this application. Plus, there are 100 of them. maybe not the best use of all this plastic. It may be easier for you to purchase an ear dropper bottle: http://www.amazon.com/Amber-Glass-Bottle-2oz-Dropper/dp/B001FAT8A2/ref=sr_1_1?ie=UTF8&qid=1411389762&sr=8-1&keywords=ear+dropper+bottle",?
yes/no,B005IQTSE0,"Jun 24, 2014",1403593200.0,do u think this pipettes can use for paint?,"Yes, absolutely. I paint miniatures for tabletop war games and would definitely use them to mix colors etc.",?
open-ended,B005JRJEYC,"Oct 8, 2013",1381215600.0,I want to know if the arbor is 3/8' or 10mm opening?,i used a 3/8 drill to drill out a blade with carbide tips from another mfg. i had to ream it alittle but it was fine and the blade lasts 10 times longer at 1/3 the price;,
open-ended,B005JRJEYC,"Aug 15, 2014",1408086000.0,What size arbor will this fit?,"7/16"" of an inch or about 10mm",
open-ended,B005JRJEYC,"May 25, 2014",1401001200.0,What type of attachment do I need to use the blade on my dremel? I have nothing big enough to accommodate the hole in the middle.,This is made for the Dremel Saw Max not the regular Dremel,
yes/no,B005JRJEYC,"May 17, 2014",1400310000.0,would this work on a makita 4 1/2 grinder,"I don't know, I don't own a makita grinder, but it works well on the Dremel SM500",?
open-ended,B005JRJEYC,"Aug 16, 2013",1376636400.0,No is compatible with Dremel 4000 ? or 3000 ? thanks,This blade works in the Saw Max only.,
open-ended,B005JT33DI,"Jul 2, 2014",1404284400.0,"If it is put on in sections and left to dry, does it blend in? Can you fix or go over a spot?","Yes, Pro Shot actually blends well when it is touched up. I reapply to high traffic areas without any noticeable streaks or uneven shine. Very easy to maintain a beautiful floor all the time without having to completely reapply.",
yes/no,B005JT33DI,"Apr 7, 2014",1396854000.0,Will this hold up to followup steam cleaning? I have a steam cleaning mop for normal maintenance..,I think not. My housekeeper uses an ordinary mop with cold water and the floor has become patchy in high-traffic areas.,?
open-ended,B005JT33DI,"Jul 2, 2014",1404284400.0,"If it is put on in sections and left to dry, does it blend in? Can you fix or go over a section?",Sorry I cannot answer your question. The product was wrong for the type of floor I was trying to fix and I sent the product back,
yes/no,B005JX2EZ2,"Feb 9, 2014",1391932800.0,can unit be used to monitor noise levels of upstairs neighbors?,"Yes it can, if the noise is loud enough. There are two settings: one for normal frequency tones and one that is better picking up bass tones.",Y
open-ended,B005JX2EZ2,"Feb 18, 2015",1424246400.0,does this come with a calibration certificate? Can it be calibrated?,Yes,
open-ended,B005JX2EZ2,"Jan 16, 2014",1389859200.0,"I want to have one of these for the office, I need to generate an audible alert warning to employees who are making a lot of noise. What device do you","This device shuts of automatically after a few minutes and doesn't have a setting to alarm when a certain noise level is reached. It also eats batteries. It would take a lot of batteries to get through a work week, and it would be and a pain to push the power button ever 5 or so minutes throughout the work day, so this is probably not the best device. My work uses a device for the exact function you describe. It looks like a traffic light. You might consider it, although it is probably a lot more expensive.",
yes/no,B005JX2EZ2,"Nov 26, 2013",1385452800.0,I want a sound meter to put on my classroom table so students can see when the sound level in the classroom is too loud. Would this work for that?,"It would register the sound level, you would have to determine in advance what level would be too loud. OSHA for example states that 85 db (time weighted average) is too loud therefore hearing protection is required. You might state that peaks of sound above 90 db would be your ""too loud"" point. The meter will register the noise accurately.",?
open-ended,B005JX2EZ2,"Dec 24, 2014",1419408000.0,"USB Digital Sound Level Meter 40-130dB: Can anyone help me (and I'm sure, others) with software?","The USB portion of the device is rather tricky to use though it worked for me on first attempt because of certain circumstances. First I ordered the entire kit (meter, cable and software from a Chinese firm called Gain Express. They are reputable I have now purchased this kit for each of my test locations and for my technical crews. The second and what I only figured out today after my test facility told me they couldn't get it to work on their system is that you must run this program in XP SP3 compatibility mode. (Accomplish this buy Right Clicking on the program and selecting properties. Moving to the compatibility tabs and running in the above mentioned OS). After all this is accomplish a more expensive meter might have been a better choice but hope is not lost just stick with me. To finally read data on your computer screen you will need to have installed any serial converter to USB driver. Because of the nature of what I do this was done on my PC well before I ever bought this meter but this is a relatively rare driver. You can find this driver here (http://www.drivermax.com/driver/update/Ports/Gigaware/Gigaware-USB-to-Serial-Cable/481626) take care to download the drive and not click on the deceptive add in the page. Lastly the cable and meter logger software can be found from gain express at the URL below http://www.gainexpress.com/products/cdc-sl814cd-optional-software-cd-usb-cable-for-sound-level-meter Once you have installed the logger software and the serial to USB driver and change to run in compatibility mode you will need to reboot your PC to enable all changes and it should work for you. Hope this helps but I know this process is a pain. However I would rather spend 15 dollars on additional cables and 30 minutes in setup than buy 300 dollars at the cheapest meter that will work seamlessly",
yes/no,B005K2TXMO,"Dec 29, 2013",1388304000.0,Does it come with a power supply?,"Yes, it comes with a USB ac power adapter and a USB to micro USB cable.",Y
yes/no,B005K2TXMO,"Oct 1, 2014",1412146800.0,Is the output of the Fiio D3 sufficient to drive the Sennheiser wireless Model 120.,"Yes,I am using mine with the Sennheiser wireless. Works great.",?
yes/no,B005K2TXMO,"Dec 9, 2014",1418112000.0,Is this any good for a ps4?,"Yes, I currently use it in my ps4. The sound quality comes out very good. Only issue is it takes up 1 of the usb ports (that's how it gets powered). But totally worth the money.",Y
yes/no,B005K2TXMO,"Jan 19, 2014",1390118400.0,"I own a Samsung Plasma PN64F8500 with optical audio out, will this adapter work with a Corsair Sp2500 2.1 PC speaker set?",Yes if it has these inputs: optical digital audio input to analog stereo output over RCA and 3.5mm mini,Y
open-ended,B005K2TXMO,"Dec 18, 2013",1387353600.0,How can I know if my TV signal is PCM?,This is a revised answer and supercedes all my posts below. I got two answers from LG regarding what optical output format they support. The latest which I strongly believe is correct is: the basic tv's support AC3 only. The smart TV's support both AC3 and PCM. But I highly suggest you go to the live chat on the LG website and ask yourself. Took me 93 seconds.,
open-ended,B005K2TXMO,"Dec 16, 2013",1387180800.0,AC3? The LG tv outputs optical audio in AC3 format. Does this unit convert AC3 to RCA? Thanks!!,Yes,
yes/no,B005K2TXMO,"Aug 15, 2014",1408086000.0,"If we use the converter to connect to headphones, can you still hear the sound from the TV as well as through your headphones? (which is what we need)",I was able have both on at the same time. I think that a function of the features on the TV you are using. I am currently using this with the Sennheiser wireless rechargeable headphones,?
open-ended,B005K2TXMO,"Jul 17, 2014",1405580400.0,"I looked trough the FAQ's and can't find an answer. I have a Samsung UN60H7150 and need a converter from FO to RCA, I like yours will it work?","I do not know for sure, but I would guess that if the Samsung has a digital audio out port it would work.",
open-ended,B005K2TXMO,"Nov 30, 2014",1417334400.0,I'm trying to get Logitech Z130 PC speakers to work w/ Samsung UN40F6300AF TV so that I can control TV volume w/ TV remote control. Possible w/ this?,No,
yes/no,B005K2TXMO,"Dec 18, 2014",1418889600.0,I have a Samsung 8700 tv with only an optical audio output jack. Can I use this to connect to an analog speaker to beef up the sound when I don't want to run it thru my bose Lifestyle system?,"I'm not familiar with the Bose Lifestyle System and how it would interface with another speaker, but this FiiO will convert the optical signal from your TV, allowing an analog speaker or other analog audio hookup.",?
open-ended,B005KCLMAU,"Jun 12, 2014",1402556400.0,I called Rubbermaid and this mop comes with two microfiber pads. Confirming yours does not?,The last mops I ordered came with 2 heads. Rubbermaid has also redesigned the mop so that the internal bladder can be fixed instead of trashing the mop. Just make sure that you don't make the mistake of tightening the filler cap on to tight or the whole bladder spins. Make sure you are getting one of the redesigned mops though as they have gone from a great product to a super product. I still recommend a couple of extra heads for commercial use as you can use them to keep a clean head or not create cross contamination between bathrooms.,
open-ended,B005KCLMAU,"Jun 25, 2014",1403679600.0,"Is this mop good for both dry 'sweeping' and wet mopping, depending on what type of pad you put on the end of it? Does it come with any pads?","yes it is. if you put a dust mop pad it can dust mop and if you put a mopping flat mop on it you can wet mop, using the solution you've put in the solution chamber.",
yes/no,B005KCLMAU,"Mar 27, 2014",1395903600.0,I have this mop and it won't allow me to manually pour more than a few drop of cleaning solution at a time. Am I doing something wrong?,Try taking out the set of screws that hold the bladder in place and checking to see if the bladder is twisted. This is a new design of this mop that allows for a bladder replacement but sometimes if the cap is twisted on to tight it will twist the solution bladder. If this is the problem just untwist and reassemble.. If you are using the external tank to fill the mop than you have air lock..,Y
open-ended,B005KCLMAU,"Feb 13, 2014",1392278400.0,"Is this a battery operated mop, or just squeeze pressure operated?","It is a gravity feed. When you press the button on the handle, it opens a valve and three streams of cleaning liquid spray on the floor. You must be sure you have the reservoir side down or it will not dispense properly. I love mine, it seems to do a better job and is less mess than the ""sprayers"".",
open-ended,B005KCLMAU,"Aug 26, 2014",1409036400.0,Does anyone know if you can clean the pad in a washing machine or do you need to throw it out and buy a replacement?,You can wash in the washing machine. I don't put mine in the dryer.,
open-ended,B005KCLMAU,"Apr 8, 2015",1428476400.0,Anyone have difficulty opening the cap to the reservoir? I have tried two of these mops so far and have not been able to open the cap!,No. I haven't had that problem at all. Are you turning the cap counterclockwise?,
open-ended,B005KCLMAU,"Feb 18, 2015",1424246400.0,"What are the differences between this commercial pulse mop and the ""executive series"" pulse model. Is s this one single or double sided be",Much more heavy duty and worth every penny!,
yes/no,B005KCLMAU,"Dec 6, 2014",1417852800.0,"It says ""commercial"". Is this overkill for a house, specifically a great room with hardwood floors?","Not at all. I use it on my hardwood and on my porcelain ceramic tile floors. If your floors are sealed, I would not worry. Mine are & I have been using pine sol or Lysol for 5 years with no probem. The pad is so easy to attach, you just throw it on the floor & press down, it velcros to it",?
yes/no,B005KCLMAU,"Nov 19, 2014",1416384000.0,Is this one of the 'redesigned' mops refered to in answer under the Q&amp;A?,I'm not sure what you're asking.,?
open-ended,B005KCLMAU,"Nov 8, 2014",1415433600.0,What solution do you use to clean your floors?,I use Bona cleaner it's wonderful. Cleans and shines.....best thing for my hardwood floors,
open-ended,B005KCOJ50,"May 14, 2014",1400050800.0,which handle is recommended for this squeegee? please add a link to the one that works best. thanks!,"This squeegee fastens with a clamp, so a handle with a tapered tip would be best, such as the Rubbermaid FG636200... http://www.amazon.com/Rubbermaid-Commercial-FG636200-Tapered-Natural/dp/B005KDD0XQ/",
yes/no,B005KCOJ50,"Jan 28, 2014",1390896000.0,Does this squeegee work well in either direction (pulling or pushing)?,Yes! The squeegee works I. Both directions. I love mine for keeping my garage floor clean from melting snow and rain.,Y
open-ended,B005KCOJ50,"Apr 17, 2014",1397718000.0,"Does this squeegee come with a handle or it is purchased separately? If it is latter, which handle matches well? Thanks!","Just the squeegee and its pretty cheaply made, while it works. You get what you pay for.",
yes/no,B005KD78CA,"Mar 5, 2013",1362470400.0,Does it pick up cat hair?,"Cat hair generally isn't what I try to pick up with this sweeper, but we do have a cat and the sweeper does pick up at least some of the cat hair. There's always plenty of it in the dust bins when I empty the bins. This sweeper is certainly no substitute for a electric vacuum with a powered rotor brush, but nor should it be expected to be.",?
yes/no,B005KD78CA,"Apr 21, 2013",1366527600.0,Does it pick up sand well?,"Bought this carpet sweeper to pick up at church...disappointed because instead of going forward and then backward when you first start to use it, you have to go in front of the dirt and then back and then forward to pick up the dirt several times that way and sometimes that doesn't even work.",?
yes/no,B005KD78CA,"Aug 22, 2013",1377154800.0,Does it work on a medium to high pile carpet?,No,N
open-ended,B005KD78CA,"Oct 8, 2014",1412751600.0,"I don't understand. How does a brushless, non-vacuum cleaner pick up *anything* off of the floor or carpet?","It does. It's great with any sort of particles - dirt, dust, paper clips, pieces of paper, dust bunnies. It does not work well with things that cling, like fine dog hair, pieces of dryer sheets, etc. They are like flexible paddles, kind of like windshield wiper blades only wider, and seem to flick stuff right up.",
open-ended,B005KD78CA,"Aug 3, 2014",1407049200.0,I have big problem with CAT HAIR which unit it will be best for me 421588 or the dual 388 Please let me know Thank you Remember I need to buy one o,Don't have a cat but I have girls with long hair. This thing was useless for everything on our hardwood floors. I returned it after a week.,
open-ended,B005KDC1WC,"Aug 18, 2013",1376809200.0,what lid goes with this can?,"""Rubbermaid Commercial Brute Plastic Waste Lid, Round, for 2620 Brute Containers, 19.88"" Diameter x 1.8"" Height, White"" This is the correct lid for the container in question. FWIW, I own both the container and, after some difficulties w/Amazon, I own the noted ""correct"" lid. *****Kerry Wood",
yes/no,B005KDC1WC,"Jul 15, 2014",1405407600.0,Is this container food grade? I don't mean suitable for food waste but suitable for storing consumable food.,Yes it is. I use it for extracting honey before bottling. AI Root would sell these for the specific purpose of honey extraction.,Y
yes/no,B005KDC1WC,"Sep 19, 2013",1379574000.0,"Does this trash can fit onto the ""Winco DLR-18 Dolly"" ???",Yes it is a solid bottom and there will b no leaks or breaks around the handles for a long time to come but it sits beautifully on the winco dolly,Y
yes/no,B005KDC1WC,"Sep 15, 2014",1410764400.0,Does the 20 Gallon Brute Trash Can have a warranty?,"In regards to a warranty you would need to check with the company u r going to be buying it from. It's a very thick and very durable garbage can. Not like the flimsy light weight ones u use every day this has an industrial strength bottom and handles. I would b most interested in what it is that someone could do to this can to need a warranty. It is very thick and hard based plastic you can drag it over rocks or let roll around in the back of ur truck, sit on it to try to make it warp to diffrent shape, kick it... U name it I would b impressed if u could find a way to break this can other then w a saw or cutting torch to melt it. Love this can and I use it to hold water and salt for my salt water fish tank mix",?
open-ended,B005KDC1WC,"Jun 10, 2014",1402383600.0,what size trash bags would fit this bin?,36 - 50 gallon Bags,
yes/no,B005KDC1WC,"Jul 4, 2014",1404457200.0,"does the 19.5"" include the handles","No, 19.5"" measures across from the outside of the rim. With the handles it's 23.5"" or 24"".",?
open-ended,B005KDEIZ0,"Dec 30, 2014",1419926400.0,"The description says this thermometer is over 6"" tall. That sounds rather large, can anyone confirm?",It's 3.5 inches tall - measured from the base to the top of the 'clip' from which you can hang it.,
open-ended,B005KDEIZ0,"Jan 16, 2015",1421395200.0,how accurate is the thermometer? I've used one of these types before in my breville and it gave the wrong temperature of the inside of the oven.,"My experience has been that it was my oven that was wrong, not the thermometer! My food came out much better and the way it was supposed to when I followed this thermometer rather than the temperature reading on my oven's display!!! Hope that answer helps... good luck!",
open-ended,B005KDEIZ0,"Mar 16, 2015",1426489200.0,how do you hang it inside the oven?,"The hook on top allows it to hang either way, where and how it hangs depends on shelf layout and size. We sit it on it's base on the tray or rack and angle it to catch the oven light or hang it on the rack facing the oven door.",
yes/no,B005KDEIZ0,"Jul 14, 2014",1405321200.0,Can this be used in a gas grill?,I don't see why not. It can either hang from an oven rack or sit on one. As long as the spaces between the grill bars aren't too wide for the base it should work just fine.,?
open-ended,B005KDEIZ0,"Feb 15, 2014",1392451200.0,Where was this product made? (I see the HQ location but doubt that's where this was made.),Made in China,
yes/no,B005KDEIZ0,"Aug 26, 2014",1409036400.0,I want to use my oven as a proofer. I need to know when my oven is about 80 to 90 degrees. Is this model accurate at low temperatures?,"I would not personally trust this thermometer at those temperatures. My experience making meringues tells me that below 200 degrees it is not very accurate. I would think a better choice would be a standard wireless indoor-outdoor thermometer, which is designed to record temps in that range.",N
open-ended,B005KDEIZ0,"Jan 8, 2014",1389168000.0,What is the diameter of the face of the themometer?,"I have one. It's about 2-1/8"" across the glass. Big dial, easy to read. I like mine!",
open-ended,B005KDEIZ0,"Aug 3, 2013",1375513200.0,what are the dimensions of this item?,"Approx 4"" x 3"". It can stand on the flange or hang off of a rack (though we found the hanging better for location, standing on the base was better for reading the results).",
open-ended,B005KDEIZ0,"Jul 25, 2014",1406271600.0,I wonder is this would work on a wood stove-sittting on top???,"It wouldn't be 100% accurate, but close. My guess is the reading would be about 25-50% low.",
yes/no,B005KDEIZ0,"Jul 8, 2014",1404802800.0,"I never received my oven thermometer, even though it says it was delivered weeks ago. It never arrived! Is it possible to have a new one shipped?",This is a different forum... your problem can be fixed through a phone call to the seller or amazon.,?
open-ended,B005KDDD2Y,"Aug 28, 2013",1377673200.0,Is the handle plastic or wood?,Wood,
yes/no,B005KDDD2Y,"Oct 4, 2013",1380870000.0,Is there a hole for hanging?,No there is not. The handle is solid wood with a rounded tip on the end. Would be easy to drill a hole into the end of the handle if needed. Please keep in mind this broom is very short. Many people seem surprised despite it being clearly identified in the item description.,?
open-ended,B005KDDD2Y,"Dec 29, 2013",1388304000.0,how long is the whole broom?,"It's about 39"" tall and the bristles are 7"" wide",
open-ended,B005KDDD2Y,"Jan 23, 2014",1390464000.0,How thick is the handle?,"WEll, the handle is 3/4"".",
open-ended,B005KDDD2Y,"Dec 6, 2013",1386316800.0,where is this product made? Please say USA and it will be perfect...,Not sure. No stamp on it,
open-ended,B005KDENE6,"Jul 2, 2014",1404284400.0,"How do you clean, rinse and squeeze the mop?","I soak mine to get the initial dirt out, and then in the machine it goes. I wash them on a gentle cycle.",
open-ended,B005KDENE6,"Oct 6, 2013",1381042800.0,I can't find the handle that is supposed to go with this pad. Please advise. Thank you!,http://www.amazon.com/Rubbermaid-FGQ75500-Quick-Connect-Straight-Extension/dp/B001AJHWIS/ref=sr_1_sc_3?ie=UTF8&qid=1381074877&sr=8-3-spell&keywords=rubber+maid+higen http://www.amazon.com/Rubbermaid-Commercial-FGQ56000-Quick-Connect-Single-Sided/dp/B005KCOB4Y/ref=sr_1_sc_1?ie=UTF8&qid=1381074877&sr=8-1-spell&keywords=rubber+maid+higen,
open-ended,B005KDENE6,"Feb 22, 2014",1393056000.0,Does this work on the rubbermaid pulse mopping system? Does it have Velcro to attach to the mop head?,"Not sure what the ""pulse mopping system"" is but yes, it does have Velcro to attach to mop head.",
yes/no,B005KDENE6,4 days ago,,is it suitable to clean baseboards,It's a little to big for baseboards. I use a swifter on baseboards.,?
yes/no,B005KDENE6,"Feb 19, 2015",1424332800.0,Will this work with the e-cloth mop? Thank you!,Yes,Y
open-ended,B005KDENE6,"May 25, 2014",1401001200.0,what is the overall size including fringe,"It is approximately 22 1/2"" x 8 1/2"", including fringe.",
open-ended,B005KDENE6,"Jan 23, 2014",1390464000.0,how many come in this order?,one,
yes/no,B005KDENE6,"Sep 28, 2013",1380351600.0,do I have to buy a handle with this?,"Yes, if you buy this one than you have to buy the handle also. It is sold as a set (handle, wet mop, dry mop) but this is separate.",Y
open-ended,B005KDIWES,"Feb 18, 2014",1392710400.0,How many do I get for $ 19.99?,"You just get one bottle, but if any spray bottle can be worth $20, it is this one. It is hard to believe the difference over basic bottles, and especially Windex-type disposable bottles. If you really need performance, and something that will last, it really is a great product.",
open-ended,B005KDIWES,"Jul 19, 2014",1405753200.0,How can I set it to spray a fine mist? All it will do is shoot a stream no matter how I twist the red nozzle adjust.,"I can twist the red nozzle and get it to mist, but it is not what I would call a fine mist.",
open-ended,B005KDIWES,"Apr 27, 2014",1398582000.0,Is this price just for 1 bottle or 6? I am confused on the reviews.TIA,"The one I ordered , regardless of quantity, was not the same quality as it used to be. I'd avoid it. And yes, that was the price for one.",
yes/no,B005KDISRY,"Jun 3, 2014",1401778800.0,Does this come with a lid?,No it does not come with a lid.,N
yes/no,B005KDISRY,"Feb 22, 2015",1424592000.0,Will a 13 Gallon Plastic Bag Fit Inside this Container,Yes,Y
open-ended,B005KDISRY,"Jul 21, 2014",1405926000.0,Is it vented on the bottom or will it contain liquids from dripping?,It is NOT vented on the bottom. It WILL contain liquids.,
yes/no,B005KDISRY,"Jun 6, 2014",1402038000.0,Will a gallon milk jug fit easily?,"Yes, it would fit at least two gallon jugs. I use it for office paper recycling but it would be a decent size for a kitchen recycle bin.",Y
open-ended,B005KDISRY,"Mar 26, 2014",1395817200.0,what material is this container made of?,100% plastic,
open-ended,B005KDISRY,"May 21, 2013",1369119600.0,"Is it smaller width at bottom? Is the top lip bigger? I have very specific dimensions for a drawer. 7"" wise at bottom (top can be larger) 19"" tall","yes, smaller at the bottom.... about 7 3/4"" inches wide, i think 11 at the top",
yes/no,B005KGKCRA,"Sep 18, 2013",1379487600.0,Can I use RO water to mix the calibration formula instead of distilled water?,"Reverse Osmosis leaves more dissolved solids in the water than distilled water. The dissolved solids will affect the actual pH of the buffering solution and therefore affect the accuracy of your meter calibration. For the best calibration and accuracy, it is best to use distilled or deionized water when using powdered buffering agents. As an alternative, you may want to use a premixed bottled buffering solution and not have to mix anything.",?
open-ended,B005KGKCRA,"Feb 25, 2015",1424851200.0,How does ones store the meter when not in use?,"I gently dry the tip with a paper towel and replace the black cap. If it will be longer than a couple of weeks, go ahead and take the batteries out.",
open-ended,B005KGKCRA,"Feb 6, 2015",1423209600.0,"I need more calibrating solution, but can only find the liquid type, not the type that came with this meter. Any suggestions?",i use distilled water as i believe (do not know) that ph is 7.0 however the tester only lasted for 18 months.,
open-ended,B005KGKCRA,"Sep 16, 2014",1410850800.0,How does temperature affect reading? Is it better to get temperature compensated unit?,"pH of a solution increases with temperature, but only slightly. For accurate reading, temp.compensation unit is better i.e more reliable. But, for most household work, this change is not significant.",
yes/no,B005KGKCRA,"Aug 13, 2014",1407913200.0,Can this meter be used with salt (marine) water as in a salt water or marine aquarium?,"It's measuring range 0.0~14.0 +/-0.2pH, at 20&#8451;, sea water has pH 7.5~8.4, from the Wikipedia. It is within the measuring range.",?
open-ended,B005KGKCRA,"Jul 30, 2014",1406703600.0,I cannot calibrate these test meters. It keeps reading 5.9,Maybe you have a defective one. I am on my second and calibrate using a pH 7 neutral solution. Using the screwdriver provided and the little screw on the back I have no problem moving it up or down. This is my second one and both worked flawlessly.,
open-ended,B005KGKCRA,"Jul 10, 2014",1404975600.0,"if the instructions say to calibrate with the 6.86 solution, what is the ph 4.00 for???","Two substances with pH 4.00 and 6.86, for calibrating the pH linearity.",
open-ended,B005KGKCRA,"Jun 12, 2013",1371020400.0,"How much water do you mix the calibration formula with?? Thanks. It's definitely in powder form, so I am guessing the 250ml is a cup, mix and then use. Can you save it and use the calibration fluid again, or cut it in half, or where do you purchase...","Well, the packet of ph substance says ""make up 250 ml"" on the one I have. I think that's what I did.... But it's been awhile.",
open-ended,B005LB75NI,"Oct 19, 2014",1413702000.0,Are they the extra soft or just soft?,They are absolutely the very softest brushes I have ever tried! My dentist recommended this brand. I had never heard of them before. I will be ordering more for my extended family.,
open-ended,B005LB75NI,"Apr 27, 2014",1398582000.0,Where are Nimbus Brushes manufactured?,Thailand.,
open-ended,B005LB75NI,"Apr 23, 2014",1398236400.0,"Are the bristles nylon or ""natural"" (from an animal)?","They don't say but, I'm pretty sure they are nylon.",
yes/no,B005LB75NI,"Aug 25, 2014",1408950000.0,Is this not cheaper on nimbusdental.com ?,Nimbusdental is cheaper. It's $15.35 after shipping.,?
yes/no,B005LB75NI,"Aug 25, 2014",1408950000.0,Are these brushes BPA free?,"I sent an mail to the company and received a response today: ""There is no BPA listed in the MSDS (manufacturers safety data sheet)."" I hope this helps. It might not be definitive, but at least seems ok.",?
open-ended,B005LB75NI,"Jan 14, 2014",1389686400.0,what is the difference between the compact and regular?,"I've only bought the regular, but judging from other toothbrushes I've owned, it refers to the size of the brushing head - compact being shorter than regular.",
open-ended,B005LB75NI,8 days ago,,How can these clean better than a regular or sonic toothbrush?,These are perfect for someone who use too much muscle when they brush! They're xtra soft to avoid damaging ur gums. for the price I recommend,
yes/no,B005LB75NI,"Jan 22, 2015",1421913600.0,"I got an extra soft nimbus from my dentist and I love it and want to buy only ""extra soft."" Are these labeled by softness?",I don't think they are I think they are all soft bristle. When I ordered them they were the same as I received from my oral surgeon. Best advice I can give is to check with Amazon or on the inner net.,?
open-ended,B005LB75NI,"Jan 14, 2015",1421222400.0,"What is the difference between the Nimbus ""regular"" and the ""compact""?",Compact is smaller,
open-ended,B005LB75NI,"Dec 27, 2014",1419667200.0,are these toothbrushes durable? how long do they usually last?,Soft bristle I have found them durable found out about them thru my dentist who did my implants. Only kind I will use now. I use one for 6 months.,
yes/no,B005LB8J06,"Jun 23, 2014",1403506800.0,Does compact mean a smaller head than the regular?,"Never used the 'regular' so can't compare. The brush head on the compact measures roughly 1"" in length and 1/2"" at the widest point of the width, being slightly narrower at the top and bottom.",?
yes/no,B005LB8J06,"Nov 3, 2013",1383462000.0,are the tootbrushes individually packaged?,Yes,Y
open-ended,B005LB8J06,"Jul 8, 2014",1404802800.0,"Are the bristles nylon, or are they made from another material?","Yes, very soft nylon. Feels so good on your teeth and gums!",
open-ended,B005LB8J06,"Jan 14, 2014",1389686400.0,"what is the difference between the regular size and the compact size? Is the compact size ""better"" for seniors?","My dentist gave me a sample ""compact"" size, which I thought was comparable to any other toothbrush I've always used. So when I fell in love with the product and ordered more through Amazon, I ordered compact because it was what I was used to and I was comfortable with the size. I can't imagine how big the ""regular"" must be.",
